record_name,position,picture,type,conditional_changes,field_name,scale,description,notes,,,,,,,,
A,722-729,X(08),AN,,top_secret_profiles_79,,TOP SECRET PROFILES 79,,,,,,,,,
A,730-737,X(08),AN,,top_secret_profiles_80,,TOP SECRET PROFILES 80,,,,,,,,,
A,738-745,X(08),AN,,last_used_date,,"LAST USED DATE, in CCYYMMDD format",,,,,,,,,
A,746-749,X(04),AN,,last_used_time,,"LAST USED TIME, in HHMI format",,,,,,,,,
A,750-750,X(01),AN,,not_used,,Literally “X”; indicates the end of detail record A,,,,,,,,,
B,001-002,X(02),AN,,transaction_code,,TRANSACTION CODE = “SP”,,,,,,,,,
B,003-003,X(01),AN,,record_identifier,,RECORD IDENTIFIER = “B”,,,,,,,,,
B,004-009,9(06),N,,record_id_sequence_number,,RECORD ID SEQUENCE NUMBER; begins with “000001”,,,,,,,,,
B,010-017,X(08),AN,,user_id,,USER ID; this is an eight-character User ID,,,,,,,,,
B,018-021,X(04),AN,,introducing_broker_dealer_ibd_number,,INTRODUCING BROKER DEALER (IBD) NUMBER,,,,,,,,,
B,022-053,X(32),AN,,user_first_name,,USER FIRST NAME,,,,,,,,,
B,054-085,X(32),AN,,user_last_name,,USER LAST NAME,,,,,,,,,
B,086-089,X(04),AN,,billing_investment_professional_ip_of_user,,"Billing Investment Professional (IP) of User; NOTE: For three-character IP Numbers position 89 will be “”, effective Q4 2023",,,,,,,,,
B,090-097,X(08),AN,,id_creation_date,,"ID CREATION DATE, in CCYYMMDD format",,,,,,,,,
B,98-189,X(92),AN,,asds_role_group_1,,ASDS ROLE GROUP 1,,,,,,,,,
B,190-281,X(92),AN,,asds_role_group_2,,ASDS ROLE GROUP 2,,,,,,,,,
B,282-373,X(92),AN,,asds_role_group_3,,ASDS ROLE GROUP 3,,,,,,,,,
B,374-465,X(92),AN,,asds_role_group_4,,ASDS ROLE GROUP 4,,,,,,,,,
B,466-557,X(92),AN,,asds_role_group_5,,ASDS ROLE GROUP 5,,,,,,,,,
B,558-649,X(92),AN,,asds_role_group_6,,ASDS ROLE GROUP 6,,,,,,,,,
B,650-741,X(92),AN,,asds_role_group_7,,ASDS ROLE GROUP 7,,,,,,,,,
B,742-749,X(08),AN,,not_used,,Not Used,,,,,,,,,
B,750-750,X(01),AN,,not_used,,Literally “X”; indicates the end of detail record B,,,,,,,,,
C,001-002,X(02),AN,,transaction_code,,TRANSACTION CODE = “SP”,,,,,,,,,
C,003-003,X(01),AN,,record_identifier,,RECORD IDENTIFIER = “C”,,,,,,,,,
C,004-009,9(06),N,,record_id_sequence_number,,RECORD ID SEQUENCE NUMBER; begins with “000001”,,,,,,,,,
C,010-017,X(08),AN,,user_id,,USER ID; this is an eight-character User ID,,,,,,,,,
C,018-021,X(04),AN,,introducing_broker_dealer_ibd_number,,INTRODUCING BROKER DEALER (IBD) NUMBER,,,,,,,,,
C,022-053,X(32),AN,,user_first_name,,USER FIRST NAME,,,,,,,,,
C,054-085,X(32),AN,,user_last_name,,USER LAST NAME,,,,,,,,,
C,086-089,X(04),AN,,not_used,,Not Used,,,,,,,,,
C,90-157,X(68),AN,,entitlement_group_1,,ENTITLEMENT GROUP 1,,,,,,,,,
C,158-225,X(68),AN,,entitlement_group_2,,ENTITLEMENT GROUP 2,,,,,,,,,
C,226-293,X(68),AN,,entitlement_group_3,,ENTITLEMENT GROUP 3,,,,,,,,,
C,294-361,X(68),AN,,entitlement_group_4,,ENTITLEMENT GROUP 4,,,,,,,,,
C,362-429,X(68),AN,,entitlement_group_5,,ENTITLEMENT GROUP 5,,,,,,,,,
C,430-497,X(68),AN,,entitlement_group_6,,ENTITLEMENT GROUP 6,,,,,,,,,
C,498-565,X(68),AN,,entitlement_group_7,,ENTITLEMENT GROUP 7,,,,,,,,,
C,566-633,X(68),AN,,entitlement_group_8,,ENTITLEMENT GROUP 8,,,,,,,,,
C,634-701,X(68),AN,,entitlement_group_9,,ENTITLEMENT GROUP 9,,,,,,,,,
C,702-724,X(23),AN,,not_used,,Not Used,,,,,,,,,
C,725-733,X(09),AN,,introducing_firm,,INTRODUCING FIRM; if user is Introducing Firm enabled,,,,,,,,,
C,734-734,X(01),AN,,introducing_firm_context_enabled_indicator,,"INTRODUCING FIRM CONTEXT ENABLED INDICATOR; values include:
“Y” = Context enabled
“N” = Not context enabled
“” = Not applicable",,,,,,,,,
C,735-749,X(15),AN,,context_entitlement_name,,CONTEXT ENTITLEMENT NAME,,,,,,,,,
C,750-750,X(01),AN,,not_used,,Literally “X”; indicates the end of detail record C,,,,,,,,,
D,001-002,X(02),AN,,transaction_code,,TRANSACTION CODE = “SP”,,,,,,,,,
D,003-003,X(01),AN,,record_identifier,,RECORD IDENTIFIER = “D”,,,,,,,,,
D,004-009,9(06),N,,record_id_sequence_number,,RECORD ID SEQUENCE NUMBER; begins with “000001”,,,,,,,,,
D,010-017,X(08),AN,,user_id,,USER ID; this is an eight-character User ID,,,,,,,,,
D,018-021,X(04),AN,,introducing_broker_dealer_ibd_number,,INTRODUCING BROKER DEALER (IBD) NUMBER,,,,,,,,,
D,022-089,X(68),AN,,not_used,,Not Used,,,,,,,,,
D,090-104,X(15),AN,,npnx_profile_of_the_user_id,,NPNX PROFILE OF THE USER ID,,,,,,,,,
D,105-750,X(645),AN,,not_used,,Not Used,,,,,,,,,
D,750-750,X(01),AN,,not_used,,Literally “X”; indicates the end of detail record D,,,,,,,,,
E,001-002,X(02),AN,,transaction_code,,TRANSACTION CODE = “SP”,,,,,,,,,
E,003-003,X(01),AN,,record_identifier,,RECORD IDENTIFIER = “E”,,,,,,,,,
E,004-009,9(06),N,,record_id_sequence_number,,RECORD ID SEQUENCE NUMBER; begins with “000001”,,,,,,,,,
E,010-017,X(08),AN,,user_id,,USER ID; this is an eight-character User ID,,,,,,,,,
E,018-021,X(04),AN,,introducing_broker_dealer_ibd_number,,INTRODUCING BROKER DEALER (IBD) NUMBER,,,,,,,,,
E,022-053,X(32),AN,,user_first_name,,USER FIRST NAME,,,,,,,,,
E,054-085,X(32),AN,,user_last_name,,USER LAST NAME,,,,,,,,,
E,086-093,X(08),AN,,id_creation_date,,"ID CREATION DATE, in CCYYMMDD format",,,,,,,,,
E,094-101,X(08),AN,,effective_start_date_of_user_job_content_entitlement,,"EFFECTIVE START DATE OF USER JOB CONTENT ENTITLEMENT, in CCYYMMDD format",,,,,,,,,
E,102-109,X(08),AN,,effective_end_date_of_user_content_entitlement,,"EFFECTIVE END DATE OF USER CONTENT ENTITLEMENT, in CCYYMMDD format; if no end date has been specified for job function then “99991231” will populate",,,,,,,,,
E,110-110,X(01),AN,,job_function_entitlement_status_code,,"JOB FUNCTION ENTITLEMENT STATUS CODE; value includes:
“A” = Active",,,,,,,,,
E,111-118,X(08),AN,,user_id_of_administrator,,USER ID OF ADMINISTRATOR; administrator who assigned or changed user entitlement,,,,,,,,,
E,119-126,X(08),AN,,user_job_function_entitlement_update_date,,USER JOB FUNCTION ENTITLEMENT UPDATE DATE; date when assigned to user or last updated,,,,,,,,,
E,127-134,9(08),N,,for_pershing_internal_use_only,,For Pershing Internal Use Only,,,,,,,,,
E,135-164,X(30),AN,,job_function_entitlement_name,,JOB FUNCTION ENTITLEMENT NAME,,,,,,,,,
E,165-664,X(500),AN,,job_function_entitlement_description,,JOB FUNCTION ENTITLEMENT DESCRIPTION,,,,,,,,,
E,665-668,X(04),AN,,template_owner,,TEMPLATE OWNER; IBD Number of Broker Dealer that owns template,,,,,,,,,
E,669-680,X(12),AN,,job_function_template_alternate_key_id,,JOB FUNCTION TEMPLATE ALTERNATE KEY ID,,,,,,,,,
E,681-724,X(44),AN,,not_used,,Not Used,,,,,,,,,
E,725-733,X(09),AN,,introducing_firm,,INTRODUCING FIRM; if user is Introducing Firm enabled,,,,,,,,,
E,734-734,X(01),AN,,introducing_firm_context_enabled_indicator,,"INTRODUCING FIRM CONTEXT ENABLED INDICATOR; values include:
“Y” = Context enabled
“N” = Not context enabled
“” = Not applicable",,,,,,,,,
E,735-749,X(15),AN,,context_entitlement_name,,CONTEXT ENTITLEMENT NAME,,,,,,,,,
E,750-750,X(01),AN,,not_used,,Literally “X”; indicates the end of detail record E,,,,,,,,,
F,001-002,X(02),AN,,transaction_code,,TRANSACTION CODE = “SP”,,,,,,,,,
F,003-003,X(01),AN,,record_identifier,,RECORD IDENTIFIER = “F”,,,,,,,,,
F,004-009,9(06),N,,record_id_sequence_number,,RECORD ID SEQUENCE NUMBER; begins with “000001”,,,,,,,,,
F,010-017,X(08),AN,,user_id,,USER ID; this is an eight-character User ID,,,,,,,,,
F,018-021,X(04),AN,,introducing_broker_dealer_ibd_number,,INTRODUCING BROKER DEALER (IBD) NUMBER,,,,,,,,,
F,022-053,X(32),AN,,user_first_name,,USER FIRST NAME,,,,,,,,,
F,054-085,X(32),AN,,user_last_name,,USER LAST NAME,,,,,,,,,
F,086-093,X(08),AN,,id_creation_date,,"ID CREATION DATE, in CCYYMMDD format",,,,,,,,,
F,094-101,X(08),AN,,effective_start_date_of_user_content_entitlement,,"EFFECTIVE START DATE OF USER CONTENT ENTITLEMENT, in CCYYMMDD format",,,,,,,,,
F,102-109,X(08),AN,,effective_end_date_of_user_content_entitlement,,"EFFECTIVE END DATE OF USER CONTENT ENTITLEMENT, in CCYYMMDD format; if no end date has been specified for job function then “99991231” will populate",,,,,,,,,
F,110-110,X(01),AN,,report_entitlement_status_code,,"REPORT ENTITLEMENT STATUS CODE; value includes:
“A” = Active",,,,,,,,,
F,111-118,X(08),AN,,user_id_of_administrator,,USER ID OF ADMINISTRATOR; administrator who assigned or changed user entitlement,,,,,,,,,
F,119-126,X(08),AN,,user_entitlement_update_date,,"USER ENTITLEMENT UPDATE DATE, in CCYYMMDD format; date when job function entitlement was assigned to user or last updated",,,,,,,,,
F,127-134,9(08),N,,for_pershing_internal_use_only,,For Pershing Internal Use Only,,,,,,,,,
F,135-164,X(30),AN,,report_entitlement_name,,REPORT ENTITLEMENT NAME,,,,,,,,,
F,165-664,X(500),AN,,report_entitlement_description,,REPORT ENTITLEMENT DESCRIPTION,,,,,,,,,
F,665-668,X(04),AN,,template_owner,,TEMPLATE OWNER; IBD Number of Broker Dealer that owns template,,,,,,,,,
F,669-680,X(12),AN,,job_function_template_alternate_key_id,,JOB FUNCTION TEMPLATE ALTERNATE KEY ID,,,,,,,,,
F,681-724,X(44),AN,,not_used,,Not Used,,,,,,,,,
F,725-733,X(09),AN,,introducing_firm,,INTRODUCING FIRM; if user is Introducing Firm enabled,,,,,,,,,
F,734-734,X(01),AN,,introducing_firm_context_enabled_indicator,,"INTRODUCING FIRM CONTEXT ENABLED INDICATOR; values include:
“Y” = Context enabled
“N” = Not context enabled
“” = Not applicable",,,,,,,,,
F,735-749,X(15),AN,,context_entitlement_name,,CONTEXT ENTITLEMENT NAME,,,,,,,,,
F,750-750,X(01),AN,,not_used,,Literally “X”; indicates the end of detail record F,,,,,,,,,
G,001-002,X(02),AN,,transaction_code,,TRANSACTION CODE = “SP”,,,,,,,,,
G,003-003,X(01),AN,,record_identifier,,RECORD IDENTIFIER = “G”,,,,,,,,,
G,004-009,9(06),N,,record_id_sequence_number,,RECORD ID SEQUENCE NUMBER; begins with “000001”,,,,,,,,,
G,010-017,X(08),AN,,user_id,,USER ID; this is an eight-character User ID,,,,,,,,,
G,018-021,X(04),AN,,introducing_broker_dealer_ibd_number,,INTRODUCING BROKER DEALER (IBD) NUMBER,,,,,,,,,
G,022-053,X(32),AN,,user_first_name,,USER FIRST NAME,,,,,,,,,
G,054-085,X(32),AN,,user_last_name,,USER LAST NAME,,,,,,,,,
G,086-093,X(08),AN,,id_creation_date,,"ID CREATION DATE, in CCYYMMDD format",,,,,,,,,
G,094-101,X(08),AN,,effective_start_date_of_user_content_entitlement,,"EFFECTIVE START DATE OF USER CONTENT ENTITLEMENT, in CCYYMMDD format",,,,,,,,,
G,102-109,X(08),AN,,effective_end_date_of_user_content_entitlement,,"EFFECTIVE END DATE OF USER CONTENT ENTITLEMENT, in CCYYMMDD format; if no end date has been specified for job function then “99991231” will populate",,,,,,,,,
G,110-110,X(01),AN,,content_entitlement_status_code,,"CONTENT ENTITLEMENT STATUS CODE; value includes:
“A” = Active",,,,,,,,,
G,111-118,X(08),AN,,user_id_of_administrator,,USER ID OF ADMINISTRATOR; administrator who assigned or changed user entitlement,,,,,,,,,
G,119-126,X(08),AN,,user_content_entitlement_update_date,,"USER CONTENT ENTITLEMENT UPDATE DATE, in CCYYMMDD format; date when assigned to user or last updated",,,,,,,,,
G,127-134,9(08),N,,for_pershing_internal_use_only,,For Pershing Internal Use Only,,,,,,,,,
G,135-164,X(30),AN,,content_entitlement_name,,CONTENT ENTITLEMENT NAME,,,,,,,,,
G,165-664,X(500),AN,,content_entitlement_description,,CONTENT ENTITLEMENT DESCRIPTION,,,,,,,,,
G,665-668,X(04),AN,,template_owner,,TEMPLATE OWNER; IBD Number of Broker Dealer that owns the template,,,,,,,,,
G,669-680,X(12),AN,,job_function_template_alternate_key_id,,JOB FUNCTION TEMPLATE ALTERNATE KEY ID,,,,,,,,,
G,681-724,X(44),AN,,not_used,,Not Used,,,,,,,,,
G,725-733,X(09),AN,,introducing_firm,,INTRODUCING FIRM; if user is Introducing Firm enabled,,,,,,,,,
G,734-734,X(01),AN,,introducing_firm_context_enabled_indicator,,"INTRODUCING FIRM CONTEXT ENABLED INDICATOR; values include:
“Y” = Context enabled
“N” = Not context enabled
“” = Not applicable",,,,,,,,,
G,735-749,X(15),AN,,context_entitlement_name,,CONTEXT ENTITLEMENT NAME,,,,,,,,,
G,750-750,X(01),AN,,not_used,,Literally “X”; indicates the end of detail record G,,,,,,,,,
H,001-002,X(02),AN,,transaction_code,,TRANSACTION CODE = “SP”,,,,,,,,,
H,003-003,X(01),AN,,record_identifier,,RECORD IDENTIFIER = “H”,,,,,,,,,
H,004-009,9(06),N,,record_id_sequence_number,,RECORD ID SEQUENCE NUMBER; begins with “000001”,,,,,,,,,
H,010-017,X(08),AN,,user_id,,USER ID; this is an eight-character User ID,,,,,,,,,
H,018-021,X(04),AN,,introducing_broker_dealer_ibd_number,,INTRODUCING BROKER DEALER (IBD) NUMBER,,,,,,,,,
H,022-053,X(32),AN,,user_first_name,,USER FIRST NAME,,,,,,,,,
H,054-085,X(32),AN,,user_last_name,,USER LAST NAME,,,,,,,,,
H,086-093,X(08),AN,,id_creation_date,,"ID CREATION DATE, in CCYYMMDD format",,,,,,,,,
H,094-101,X(08),AN,,effective_start_date_of_user_content_entitlement,,"EFFECTIVE START DATE OF USER CONTENT ENTITLEMENT, in CCYYMMDD format",,,,,,,,,
H,102-109,X(08),AN,,effective_end_date_of_user_content_entitlement,,"EFFECTIVE END DATE OF USER CONTENT ENTITLEMENT, in CCYYMMDD format; if no end date has been specified for job function then “99991231” will populate",,,,,,,,,
H,110-117,X(08),AN,,user_id_of_administrator,,USER ID OF ADMINISTRATOR; administrator who assigned or changed user entitlement,,,,,,,,,
H,118-125,X(08),AN,,user_content_entitlement_update_date,,"USER CONTENT ENTITLEMENT UPDATE DATE, in CCYYMMDD format; date when assigned to user or last updated",,,,,,,,,
H,126-155,X(30),AN,,individual_report_business_functional_entitlement_bfe_category_name,,INDIVIDUAL REPORT BUSINESS FUNCTIONAL ENTITLEMENT (BFE) CATEGORY NAME,,,,,,,,,
H,156-163,X(08),AN,,for_pershing_internal_use_only,,For Pershing Internal Use Only,,,,,,,,,
H,164-253,X(90),AN,,individual_report_bfe_name,,INDIVIDUAL REPORT BFE NAME,,,,,,,,,
H,254-293,X(40),AN,,individual_report_bfe_access_level,,INDIVIDUAL REPORT BFE ACCESS LEVEL,,,,,,,,,
H,294-549,X(256),AN,,individual_report_bfe_description,,INDIVIDUAL REPORT BFE DESCRIPTION,,,,,,,,,
H,550-561,X(12),AN,,job_function_template_alternate_key_id,,JOB FUNCTION TEMPLATE ALTERNATE KEY ID,,,,,,,,,
H,562-724,X(163),AN,,not_used,,Not Used,,,,,,,,,
H,725-733,X(09),AN,,introducing_firm,,INTRODUCING FIRM; if user is Introducing Firm enabled,,,,,,,,,
H,734-734,X(01),AN,,introducing_firm_context_enabled_indicator,,"INTRODUCING FIRM CONTEXT ENABLED INDICATOR; values include:
“Y” = Context enabled
“N” = Not context enabled
“” = Not applicable",,,,,,,,,
H,735-749,X(15),AN,,context_entitlement_name,,CONTEXT ENTITLEMENT NAME,,,,,,,,,
H,750-750,X(01),AN,,not_used,,Literally “X”; indicates the end of detail record H,,,,,,,,,
I,001-002,X(02),AN,,transaction_code,,TRANSACTION CODE = “SP”,,,,,,,,,
I,003-003,X(01),AN,,record_identifier,,RECORD IDENTIFIER = “I”,,,,,,,,,
I,004-009,9(06),N,,record_id_sequence_number,,RECORD ID SEQUENCE NUMBER; begins with “000001”,,,,,,,,,
I,010-017,X(08),AN,,user_id,,USER ID; this is an eight-character User ID,,,,,,,,,
I,018-021,X(04),AN,,introducing_broker_dealer_ibd_number,,INTRODUCING BROKER DEALER (IBD) NUMBER,,,,,,,,,
I,022-053,X(32),AN,,user_first_name,,USER FIRST NAME,,,,,,,,,
I,054-085,X(32),AN,,user_last_name,,USER LAST NAME,,,,,,,,,
I,086-093,X(08),AN,,id_creation_date,,"ID CREATION DATE, in CCYYMMDD format",,,,,,,,,
I,094-101,X(08),AN,,effective_start_date_of_user_content_entitlement,,"EFFECTIVE START DATE OF USER CONTENT ENTITLEMENT, in CCYYMMDD format",,,,,,,,,
I,102-109,X(08),AN,,effective_end_date_of_user_content_entitlement,,"EFFECTIVE END DATE OF USER CONTENT ENTITLEMENT, in CCYYMMDD format; if no end date has been specified for job function then “99991231” will populate",,,,,,,,,
I,110-117,X(08),AN,,user_id_of_administrator,,USER ID OF ADMINISTRATOR; administrator who assigned or changed user entitlement,,,,,,,,,
I,118-125,X(08),AN,,user_content_entitlement_update_date,,"USER CONTENT ENTITLEMENT UPDATE DATE, in CCYYMMDD format; date when assigned to user or last updated",,,,,,,,,
