record_type,record_number,record_segment,field_name,position_start,position_end,scale,conditional_changes,description,notes
D,1,8,NextCouponResetDate,27,34,,,,
D,1,8,CouponResetFrequency,35,36,,,,
D,1,8,CouponRateMinimumSign,37,37,,,,
D,1,8,CouponRateMinimum,38,42,3,,,
D,1,8,CouponRateMaximumSign,43,43,,,,
D,1,8,CouponRateMaximum,44,48,3,,,
D,1,8,CouponTypeCode,49,51,,,,
D,1,8,CouponFormulaTest,52,91,,,,
D,1,8,CouponFormulaEffectiveDate,92,99,,,,
D,1,8,Filler6,100,101,,,,
D,1,9,RecordNumber9,1,1,,,,
D,1,9,DefaultTypeCode,2,2,,,,
D,1,9,DefaultDate,3,10,,,,
D,1,9,CouponFormulaBenchMarkSequenceNumber1,11,14,,,,
D,1,9,CouponFormulaBenchmark1,15,22,,,,
D,1,9,CouponFormulaBenchMarkSequenceNumber2,23,26,,,,
D,1,9,CouponFormulaBenchmark2,27,34,,,,
D,1,9,CouponFormulaBenchMarkSequenceNumber3,35,38,,,,
D,1,9,CouponFormulaBenchmark3,39,46,,,,
D,1,9,CallFrequencyCode,47,48,,,,
D,1,9,MakeWholeIndicator,49,49,,,,
D,1,9,ExtraOrdinaryCallIndicator,50,50,,,,
D,1,9,MunicipalRedemptionTypeCode,51,51,,,,
D,1,9,MandatoryPutDate,52,59,,,,
D,1,9,MandatoryPutPriceSign,60,60,,,,
D,1,9,MandatoryPutPrice,61,68,5,,,
D,1,9,NextCallPriceSign,69,69,,,,
D,1,9,NextCallPrice,70,79,5,,,
D,1,9,FirstPerCallPriceSign,80,80,,,,
D,1,9,FirstPerCallPrice,81,90,5,,,
D,1,9,NextPutPriceSign,91,91,,,,
D,1,9,NextPutPrice,92,101,5,,,
D,1,A,RecordNumberA,1,1,,,,
D,1,A,CallNotificationMinimum,2,4,,,,
D,1,A,NextPutDate,5,12,,,,
D,1,A,ContiniouslyCallableEffectivedate,13,20,,,,
D,1,A,NextCallDate,21,28,,,,
D,1,A,FirstPerCallDate,29,36,,,,
D,1,A,NextSinkDate,37,44,,,,
D,1,A,NextSinkAmountSign,45,45,,,,
D,1,A,NextSinkAmount,46,53,2,,,
D,1,A,NextSinkPriceSign,54,54,,,,
D,1,A,NextSinkPrice,55,64,5,,,
D,1,A,NextSinkType,65,65,,,,
D,1,A,MunicipalRedemptionTypeLongDescription,66,95,,,,
D,1,A,Filler7,96,101,,,,
D,1,B,RecordNumberB,1,1,,,,
D,1,B,AuctionDatePreferredIndicator,2,2,,,,
D,1,B,VariableDateIndicator,3,3,,,,
D,1,B,UitFundFamilyCode,4,7,,,,
D,1,B,UitFundFamilySponsor,8,13,,,,
D,1,B,UitFundFamilyNumber,14,17,,,,
D,1,B,RedemptionCallIndicator,18,18,,,,
D,1,B,RedemptionPutIndicator,19,19,,,,
D,1,B,OptionContractId,20,25,,,,
D,1,B,OptionSymbolId,26,55,,,,
D,1,B,OptionCallPutIndicator,56,56,,,,
D,1,B,Filler8,57,101,,,,
