table_name,record_type,field,sub_table_name
Products,C,Record Type,Fee Rate
Products,C,Fee Schedule Id,
Products,C,Start Range,
Products,C,Rate_prc,
RepMaster,,Owner Type,
RepMaster,,Owner Id,
RepMaster,,Owner Name,
RepMaster,,Partner Code,
RepMaster,,Branch Code,
RepMaster,,Advisor Code,
RepMaster,,Rep Code,
RepMaster,,Rep Description,
Codes,Security Type,Record Type,
Codes,Security Type,Security Type Code,
Codes,Security Type,Security Type Description,
Codes,Style Type,Record Type,
Codes,Style Type,Style Type Id,
Codes,Style Type,Style Type Description,
Codes,Transaction Type,Record Type,
Codes,Transaction Type,Transaction Type Id,
Codes,Transaction Type,Transaction Type Description,
Codes,Transaction Mapping,Record Type,
Codes,Transaction Mapping,Mapping Id,
Codes,Transaction Mapping,Custodian Name,
Codes,Transaction Mapping,Book Keeping Code,
Codes,Transaction Mapping,Type,
Codes,Transaction Mapping,Code,
Codes,Transaction Mapping,Mapping Description,
Codes,Service Request Type,Record Type,
Codes,Service Request Type,Service Request Id,
Codes,Service Request Type,Service Request Description,
Codes,Instruction Type,Record Type,
Codes,Instruction Type,Instruction Type Id,
Codes,Instruction Type,Instruction Type Description,
Codes,Registration Type,Record Type,
Codes,Registration Type,Registration Type Id,
Codes,Registration Type,Registration Type Description,
Codes,SSN Type,Record Type,
Codes,SSN Type,SSN Type Id,
Codes,SSN Type,SSN Type Description,
Codes,Product Type,Record Type,
Codes,Product Type,Product Type Id,
Codes,Product Type,Product Type Description,
Codes,Product Name,Record Type,
Codes,Product Name,Product Id,
Codes,Product Name,Product Name Description,
Codes,Fund Family,Record Type,
Codes,Fund Family,Fund Family Id,
Codes,Fund Family,Fund Family Name,
Codes,Fund Family,Entity Type,
Codes,Fund Family,NSCC Code,
Codes,Fund Family,MSTAR / DTCC Code,
Codes,Fund Family,DST Code,
Codes,Commission Type,Record Type,
Codes,Commission Type,Commission Type Id,
Codes,Commission Type,Description,
Codes,Contact Type,Record Type,
Codes,Contact Type,Contact Type Id,
Codes,Contact Type,Description,
Codes,Annual Income,Record Type,
Codes,Annual Income,Annual Income Type,
Codes,Annual Income,Description,
Codes,Estimated Net Worth,Record Type,
Codes,Estimated Net Worth,Estimated Net Worth Type,
Codes,Estimated Net Worth,Description,
Codes,Investable Assets,Record Type,
Codes,Investable Assets,Investable Assets Type,
Codes,Investable Assets,Description,
Codes,Tax Bracket,Record Type,
Codes,Tax Bracket,Tax Bracket Type,
Codes,Tax Bracket,Description,
Codes,Investment Objective Rank,Record Type,
Codes,Investment Objective Rank,Investment Objective Rank Type,
Codes,Investment Objective Rank,Description,
Codes,Suitability Status,Record Type,
Codes,Suitability Status,Suitability Status Type,
Codes,Suitability Status,Description,
Codes,Risk Tolerance,Record Type,
Codes,Risk Tolerance,Risk Tolerance Type,
Codes,Risk Tolerance,Description,
Codes,Time Horizon,Record Type,
Codes,Time Horizon,Time Horizon Type,
Codes,Time Horizon,Description,
Codes,Investment Knowledge,Record Type,
Codes,Investment Knowledge,Investment Knowledge Type,
Codes,Investment Knowledge,Description,
Codes,Tax Efficiency,Record Type,
Codes,Tax Efficiency,Tax Efficiency Id,
Codes,Tax Efficiency,Description,
Codes,Product Status,Record Type,
Codes,Product Status,Status Id,
Codes,Product Status,Description,
Codes,Product IMR Status,Record Type,
Codes,Product IMR Status,IMR Status Id,
Codes,Product IMR Status,Description,
Codes,Risk Scale,Record Type,
Codes,Risk Scale,Risk Scale Min Point,
Codes,Risk Scale,Risk Scale Max Point,
Codes,Risk Scale,Description,
Codes,Billing Debit Method,Record Type,
Codes,Billing Debit Method,Billing Debit Method Id,
Codes,Billing Debit Method,Description,
Codes,Account History Type,Record Type,
Codes,Account History Type,History Type Id,
Codes,Account History Type,Description,
Codes,Fee Component Type,Record Type,
Codes,Fee Component Type,Fee Component Type Id,
Codes,Fee Component Type,Description,
Codes,Billing Mode,Record Type,
Codes,Billing Mode,Billing Mode Id,
Codes,Billing Mode,Description,
Codes,Asset Calculation Method,Record Type,
Codes,Asset Calculation Method,Calculation Method Id,
Codes,Asset Calculation Method,Description,
Codes,Fee Filter Type,Record Type,
Codes,Fee Filter Type,Fee Filter Type Id,
Codes,Fee Filter Type,Fee Filter Type,
Codes,Asset Category,Record Type,
Codes,Asset Category,Fee Filter Type Id,
Codes,Asset Category,Billing Mode Id,
Codes,Asset Category,Description,
Codes,Account Status,Record Type,
Codes,Account Status,Account Status,
Codes,Account Status,Description,
Codes,Trade Exchange,Record Type,
Codes,Trade Exchange,Trade Exchange Id,
Codes,Trade Exchange,Trade Exchange Name,
Codes,Trade Exchange,Description,
Codes,Trade Exchange,Exchange Region,
Codes,Trade Exchange,Exchange MIC code,
Codes,Sector,Record Type,
Codes,Sector,Sector Id,
Codes,Sector,Sector,
Codes,GICS Sector,Record Type,
Codes,GICS Sector,GICS Sector Id,
Codes,GICS Sector,GICS Sector,
Codes,S&P Rating Id,Record Type,
Codes,S&P Rating Id,S&P Rating Id,
Codes,S&P Rating Id,S&P Rating,
Codes,Moody Rating Id,Record Type,
Codes,Moody Rating Id,Moody Rating Id,
Codes,Moody Rating Id,Moody Rating,
Codes,Country,Record Type,
Codes,Country,Country Id,
Codes,Country,Country Name,
Codes,Country,Abbreviation,
Codes,Employment Status,Record Type,
Codes,Employment Status,Employment Status Id,
Codes,Employment Status,Employment Status,
Codes,Marital Status,Record Type,
Codes,Marital Status,Marital Status Id,
Codes,Marital Status,Marital Status,
Codes,Relationship,Record Type,
Codes,Relationship,Relationship Id,
Codes,Relationship,Relationship,
Codes,Salutation,Record Type,
Codes,Salutation,Salutation Id,
Codes,Salutation,Salutation,
Codes,Currency,Record Type,
Codes,Currency,Currency Id,
Codes,Currency,Currency Code,
Codes,Currency,Currency Description,
Codes,Authorized Programs,Record Type,
Codes,Authorized Programs,Program Id,
Codes,Authorized Programs,Program Name,
Codes,Product Class,Record Type,
Codes,Product Class,Product Class Id,
Codes,Product Class,Product Class Name,
Codes,Sale Type,Record Type,
Codes,Sale Type,Sale Type Id,
Codes,Sale Type,Sale Type,
Codes,Proposal Status,Record Type,
Codes,Proposal Status,Proposal Status Id,
Codes,Proposal Status,Proposal Status,
Codes,Address Type,Record Type,
Codes,Address Type,Address Type Id,
Codes,Address Type,Address Type Name,
Codes,Dashboard Product Type,Record Type,
Codes,Dashboard Product Type,Dashboard Product Type Id,
Codes,Dashboard Product Type,Dashboard Product Type,
Codes,Alert Type,Record Type,
Codes,Alert Type,Alter Type Id,
Codes,Alert Type,Alert Type,
Codes,Ensemble,Record Type,
Codes,Ensemble,Ensemble Id,
Codes,Ensemble,Ensemble Code,
Codes,Ensemble,Ensemble Name,
Codes,Account Pricing Tier,Record Type,
Codes,Account Pricing Tier,Pricing Tier Id,
Codes,Account Pricing Tier,Pricing Tier Name,
Codes,AUM Method,Record Type,
Codes,AUM Method,AUM Method Id,
Codes,AUM Method,AUM Method Name,
Codes,Fee Paid by,Record Type,
Codes,Fee Paid By,Fee Paid By Id,
Codes,Fee Paid By,Fee Paid By Name,
Codes,Industry Type,Record Type,
Codes,Industry Type,Industry Type Id,
Codes,Industry Type,Industry Type Name,
Codes,Client Activity,Record Type,
Codes,Client Activity,Client Activity Id,
Codes,Client Activity,Client Activity Name,
Codes,Restriction Type,Record Type,
Codes,Restriction Type,Restriction Type Id,
Codes,Restriction Type,Restriction Type Name,
Codes,Program Type,Record Type,
Codes,Program Type,Program Type Id,
Codes,Program Type,Program Type Name,
Codes,Advisor Status,Record Type,
Codes,Advisor Status,Advisor Status Id,
Codes,Advisor Status,Advisor Status Name,
Codes,Owner Type,Record Type,
Codes,Owner Type,Owner Type Id,
Codes,Owner Type,Owner Type Name,
Codes,Custodians,Record Type,
Codes,Custodians,Custodian Id,
Codes,Custodians,Custodian Name,
Codes,Trading Platforms,Record Type,
Codes,Trading Platforms,Trading Platform Id,
Codes,Trading Platforms,Description,
Codes,External Trading Platforms,Record Type,
Codes,External Trading Platforms,External Trading Platform Id,
Codes,External Trading Platforms,Description,
Codes,Contract Type,Record Type,
Codes,Contract Type,Contract Type,
Codes,Contract Type,Description,
Codes,Liability Type,Record Type,
Codes,Liability Type,Liability Type,
Codes,Liability Type,Description,
Codes,Billing Frequency,Record Type,
Codes,Billing Frequency,Billing Frequency,
Codes,Billing Frequency,Description,
Codes,Change Type,Record Type,
Codes,Change Type,Change Type,
Codes,Change Type,Description,
Codes,Reorg Type,Record Type,
Codes,Reorg Type,Reorg Type,
Codes,Reorg Type,Description,
Codes,Product Overlay Feature,Record Type,
Codes,Product Overlay Feature,Product Overlay Feature Id,
Codes,Product Overlay Feature,Product Overlay Feature Description,
Codes,Programs,Record Type,
Codes,Programs,Program Id,
Codes,Programs,Program Name,
Codes,License Registration Info,Record Type,
Codes,License Registration Info,License Registration Type Id,
Codes,License Registration Info,License Registration Type Name,
Codes,External Service,Record Type,
Codes,External Service,Service Id,
Codes,External Service,Service Name,
Codes,Index Type,Record Type,
Codes,Index Type,Index Type Id,
Codes,Index Type,Type Name,
Codes,Index Scope,Record Type,
Codes,Index Scope,Index Scope Id,
Codes,Index Scope,Index Scope,
Codes,GICS Industry Group,Record Type,
Codes,GICS Industry Group,GICS Industry Group Id,
Codes,GICS Industry Group,GICS Industry Group,
Codes,Credit Card Account Status,Record Type,
Codes,Credit Card Account Status,Account Status Id,
Codes,Credit Card Account Status,Account Status Description,
Positions,,Account Id,
Positions,,Account Number,
Positions,,As of Date,
Positions,,Security Id,
Positions,,CUSIP,
Positions,,Ticker,
Positions,,Description,
Positions,,Security Type,
Positions,,Security Style,
Positions,,Quantity,
Positions,,Market Value,
Positions,,Total Cost,
Positions,,Market Price,
Positions,,Accrued Income,
Positions,,Accrued Interest,
Positions,,Unsupervised Indicator,
Positions,,Short Position Indicator,
Positions,,Unsupervised Start Date,
Positions,,Currency,
Positions,,Tax Currency,
Hierarchy,E,Record Type,Enterprise
Hierarchy,E,Enterprise Id,
Hierarchy,E,Enterprise Name,
Hierarchy,F,Record Type,Firm
Hierarchy,F,Firm Id,
Hierarchy,F,Firm Name,
Hierarchy,F,Firm Short Name,
Hierarchy,F,Enterprise Id,
Hierarchy,F,Broker Symbol,
Hierarchy,F,CRD Number,
Hierarchy,F,Bank Account Type PII,
Hierarchy,F,Bank Name PII,
Hierarchy,F,Bank Account Number PII,
Hierarchy,F,Bank Account Name PII,
Hierarchy,F,Aba Routing No PII,
Hierarchy,B,Record Type,Branch
Hierarchy,B,Branch Id,
Hierarchy,B,Branch Name,
Hierarchy,B,Branch Short Name,
Hierarchy,B,Enterprise Id,
Hierarchy,B,Firm Id,
Hierarchy,B,Branch Code,
Hierarchy,B,Manager Rep Code,
Hierarchy,A,Record Type,Advisor
Hierarchy,A,Advisor Id,
Hierarchy,A,First Name PII,
Hierarchy,A,Middle Name PII,
Hierarchy,A,Last Name PII,
Hierarchy,A,Rep Code,
Hierarchy,A,User Name PII,
Hierarchy,A,Enterprise Id,
Hierarchy,A,Firm Id,
Hierarchy,A,Branch Id,
Hierarchy,A,Entitlement,
Hierarchy,A,Manager Rep Code,
Hierarchy,A,SSN Number PII,
Hierarchy,A,Date of Birth PII,
Hierarchy,A,CRD Number,
Hierarchy,A,DBA Name,
Hierarchy,A,Start Date,
Hierarchy,A,Termination Date,
Hierarchy,A,Termination Reason,
Hierarchy,A,Home State,
Hierarchy,A,SSO User Name PII,
Hierarchy,A,Alternate SSO User Name PII,
Hierarchy,A,Selected Advisors,
Hierarchy,A,Advisor Status,
Hierarchy,A,Advisor Code,
Hierarchy,A,Advisor V2 Handle,
Hierarchy,R,Record Type,Rep Code
Hierarchy,R,Rep Code Id,
Hierarchy,R,Rep Code,
Hierarchy,R,Branch Code,
Hierarchy,R,Is Split Rep Code,
Hierarchy,R,Firm Id,
Hierarchy,R,Enterprise Id,
Hierarchy,R,Branch Id,
Hierarchy,R,Advisor Id,
Hierarchy,R,Participating Rep Code,
Hierarchy,R,Percentage,
Hierarchy,R,Rep Code Description,
Hierarchy,R,Is Primary,
Hierarchy,R,Is Default,
Hierarchy,R,Ensemble Id,
Hierarchy,G,Record Type,Fund Family Agreements
Hierarchy,G,Firm Id,
Hierarchy,G,Fund Family Id,
Hierarchy,G,Dealer Code,
Hierarchy,C,Record Type,Contact
Hierarchy,C,Owner Id,
Hierarchy,C,Owner Type Id,
Hierarchy,C,Contact Type PII,
Hierarchy,C,Address Type PII,
Hierarchy,C,Address Line 1 PII,
Hierarchy,C,Address Line 2 PII,
Hierarchy,C,City PII,
Hierarchy,C,State PII,
Hierarchy,C,Zip PII,
Hierarchy,C,Country PII,
Hierarchy,C,Phone 1 PII,
Hierarchy,C,Phone 2 PII,
Hierarchy,C,Fax PII,
Hierarchy,C,Email PII,
Hierarchy,L,Record Type,License Registration Info
Hierarchy,L,Advisor Id,
Hierarchy,L,License Registration Type,
Hierarchy,L,License Registration Code,
Hierarchy,L,Start Date PII,
Hierarchy,L,End Date PII,
Hierarchy,P,Record Type,Entitlement
Hierarchy,P,Owner Type,
Hierarchy,P,Owner Id,
Hierarchy,P,Entitlement,
Hierarchy,P,Entitlement Value,
Hierarchy,S,Record Type,External Service
Hierarchy,S,Firm Id,
Hierarchy,S,Branch Id,
Hierarchy,S,Advisor Id,
Hierarchy,S,Service Id,
Hierarchy,S,User Name PII,
Account Fee Schedule,A,Record Type,Fee Schedule
Account Fee Schedule,A,Account Id,
Account Fee Schedule,A,Account Number,
Account Fee Schedule,A,Fee Schedule Id,
Account Fee Schedule,A,Billing Mode Id,
Account Fee Schedule,A,Fee Notes,
Account Fee Schedule,A,Has Custom Service Fee,
Account Fee Schedule,A,Billing Frequency,
Account Fee Schedule,A,Source Rule Name,
Account Fee Schedule,A,Soft Minimum Waiver Start Date,
Account Fee Schedule,A,Soft Minimum Waiver End Date,
Account Fee Schedule,B,Record Type,Fee Component
Account Fee Schedule,B,Fee Schedule Id,
Account Fee Schedule,B,Fee Component Type,
Account Fee Schedule,B,Is Derived Component,
Account Fee Schedule,B,Fee Minimum,
Account Fee Schedule,B,Fee Maximum,
Account Fee Schedule,B,Is Linear,
Account Fee Schedule,B,Is Household,
Account Fee Schedule,B,Asset Calculation Method,
Account Fee Schedule,B,AUM Fee Schedule Id,
Account Fee Schedule,B,AUM Method,
Account Fee Schedule,B,AUM Rule,
Account Fee Schedule,B,Fee Paid By PII,
Account Fee Schedule,C,Record Type,Fee Filter
Account Fee Schedule,C,Fee Schedule Id,
Account Fee Schedule,C,Fee Component Type,
Account Fee Schedule,C,Filter Type,
Account Fee Schedule,C,Filter Value,
Account Fee Schedule,C,Is Exclusion/Discount/Custom Fee,
Account Fee Schedule,C,Exclusion End Date,
Account Fee Schedule,C,Advisor Cannot Edit,
Account Fee Schedule,C,Description,
Account Fee Schedule,C,Registration Type,
Account Fee Schedule,C,Exclusion Factor,
Account Fee Schedule,C,Exclusion Factory Type,
Account Fee Schedule,C,Cumulative Discount Cap,
Account Fee Schedule,C,Adjust Discount To,
Account Fee Schedule,C,Fee Filter Id,
Account Fee Schedule,C,Remaining Cumulative Discount Cap,
Account Fee Schedule,D,Record Type,Fee Rate
Account Fee Schedule,D,Fee Schedule Id,
Account Fee Schedule,D,Fee Component Type,
Account Fee Schedule,D,Filter Type,
Account Fee Schedule,D,Start Range,
Account Fee Schedule,D,Rate Percentage,
Account Fee Schedule,D,Rate Dollars,
Account Fee Schedule,D,Fee Filter Id,
Account Fee Schedule,D,Min Fee Percentage,
Account Fee Schedule,D,Min Fee Dollars,
Account Fee Schedule,D,Max Fee Percentage,
Account Fee Schedule,D,Max Fee Dollars,
Account Fee Schedule,D,Soft Min Percentage,
Proposal,A,Record Type,Proposal
Proposal,A,Proposal Group Id,
Proposal,A,Rep Code,
Proposal,A,Updated Date,
Proposal,A,Proposal Type,
Proposal,A,Title,
Proposal,A,Advisor Id,
Proposal,A,Advisor Name PII,
Proposal,A,Client Currency,
Proposal,A,Status,
Proposal,A,Created Date,
Proposal,A,Customer Id,
Proposal,A,City PII,
Proposal,A,State PII,
Proposal,A,Zip PII,
Proposal,A,Integration Code,
Proposal,A,Proposal V2 Handle,
Proposal,B,Record Type,Solution
Proposal,B,Proposal Group Id,
Proposal,B,Proposal Id,
Proposal,B,Total Investment,
Proposal,B,Funding Method,
Proposal,C,Record Type,Segment
Proposal,C,Proposal Group Id,
Proposal,C,Proposal Id,
Proposal,C,Segment Id,
Proposal,C,Segment Period From,
Proposal,C,Segment Period To,
Proposal,D,Record Type,Registration
Proposal,D,Proposal Group Id,
Proposal,D,Proposal Id,
Proposal,D,Customer Registration Id,
Proposal,D,Investment Amount,
Proposal,D,Registration Name PII,
Proposal,D,Custodian Name,
Proposal,D,Registration Type Id,
Proposal,D,Master Account Needed,
Proposal,E,Record Type,Registration Owner
Proposal,E,Proposal Group Id,
Proposal,E,Proposal Id,
Proposal,E,Customer Registration Id,
Proposal,E,Owner Type,
Proposal,E,Entity Type,
Proposal,E,Prefix PII,
Proposal,E,First Name PII,
Proposal,E,Middle Name PII,
Proposal,E,Last Name PII,
Proposal,E,SSN Tax Id PII,
Proposal,E,SSN/Tax Id Flag PII,
Proposal,E,Date of Birth PII,
Proposal,E,Address Line1 PII,
Proposal,E,Address Line2 PII,
Proposal,E,City PII,
Proposal,E,State PII,
Proposal,E,Zip Code PII,
Proposal,E,Country PII,
Proposal,E,Email PII,
Proposal,E,Phone Day PII,
Proposal,E,Phone Evening PII,
Proposal,E,Identification Number PII,
Proposal,E,Family Member Id,
Proposal,E,Address Type PII,
Proposal,F,Record Type,Investment
Proposal,F,Proposal Group Id,
Proposal,F,Proposal Id,
Proposal,F,Customer Registration Id,
Proposal,F,Product Id,
Proposal,F,Product Name,
Proposal,F,Allocation Percentage,
Proposal,F,Product Type Id,
Proposal,F,Limited Partnership,
Proposal,F,Discretion,
Proposal,F,Program,
Proposal,F,Pricing Tier,
Proposal,F,Product Overlay Feature,
Proposal,G,Record Type,Asset
Proposal,G,Proposal Group Id,
Proposal,G,Proposal Id,
Proposal,G,Asset Account Number PII,
Proposal,G,Ticker,
Proposal,G,Asset Description,
Proposal,G,Asset Style,
Proposal,G,Asset Quantity,
Proposal,G,Asset Market Value,
Proposal,G,Investable Flag,
Proposal,H,Record Type,Question
Proposal,H,Proposal Group Id,
Proposal,H,Question Id,
Proposal,H,Short Question,
Proposal,H,Answer,
Proposal,I,Record Type,Proposed Investment Group
Proposal,I,Proposal Group Id,
Proposal,I,Proposed Investment Group Id,
Proposal,I,Risk Tolerance,
Proposal,I,Investment Objective,
ServiceRequest,A,Record Type,Service Request
ServiceRequest,A,Service Request Id,
ServiceRequest,A,Advisor Name PII,
ServiceRequest,A,Customer Id,
ServiceRequest,A,Customer Registration Id,
ServiceRequest,A,Request Type Id,
ServiceRequest,A,Submitted Date,
ServiceRequest,A,Completed Date,
ServiceRequest,A,Proposal Group Id,
ServiceRequest,A,Currency,
ServiceRequest,A,Created By PII,
ServiceRequest,A,Rejected Date,
ServiceRequest,A,Service Request V2 Handle,
ServiceRequest,B,Record Type,Instruction
ServiceRequest,B,Instruction Id,
ServiceRequest,B,Parent Instruction Id,
ServiceRequest,B,Account Number,
ServiceRequest,B,Service Request Id,
ServiceRequest,B,Instruction Type Id,
ServiceRequest,B,Product Name,
ServiceRequest,B,Allocation,
ServiceRequest,B,Amount,
ServiceRequest,B,Issued Date,
ServiceRequest,B,Completed Date,
ServiceRequest,B,Completed By First Name PII,
ServiceRequest,B,Completed By Last Name PII,
ServiceRequest,B,Status,
ServiceRequest,B,Currency,
ServiceRequest,B,Instruction V2 Handle,
Taxlots,,Account Id,
Taxlots,,Account Number,
Taxlots,,As of Date,
Taxlots,,Security Id,
Taxlots,,CUSIP,
Taxlots,,Ticker,
Taxlots,,Quantity,
Taxlots,,Market Value,
Taxlots,,Total Cost,
Taxlots,,Market Price,
Taxlots,,Purchase Date,
Taxlots,,Accrued Income,
Taxlots,,Accrued Interest,
Taxlots,,Unsupervised Indicator,
Taxlots,,Short Position Indicator,
Taxlots,,ITD Performance,
Taxlots,,Inception Date,
Taxlots,,Security Type,
Taxlots,,Security Style,
Taxlots,,Currency,
Taxlots,,Tax Currency,
Gainloss,,Account Id,
Gainloss,,Account Number,
Gainloss,,Security Id,
Gainloss,,CUSIP,
Gainloss,,Ticker,
Gainloss,,Sale Date,
Gainloss,,Proceeds,
Gainloss,,Sale Units,
Gainloss,,Total Cost,
Gainloss,,Purchase Date,
Gainloss,,Unsupervised Indicator,
Gainloss,,Short Position Indicator,
Gainloss,,Tax Currency,
FamilyMember,F,Record Type,Family
FamilyMember,F,Customer Id,
FamilyMember,F,Family Name PII,
FamilyMember,F,Split Rep Code,
FamilyMember,F,Disable QPR Download to Professional Printer Flag,
FamilyMember,F,Disable Access to QPR on Client Web Site Flag,
FamilyMember,F,Sample Client Flag,
FamilyMember,F,External Unique Id,
